"Instante lectura","Chuvia","Humidade do solo","Humidade relativa media a 1.5m","Temperatura media a 1.5m","Velocidade do vento a 10m"
"2017-09-26 00:10:00.0","0.0","0.026","97.0","10.41","0.3"
"2017-09-26 00:20:00.0","0.0","0.026","97.0","10.36","1.0"
"2017-09-26 00:30:00.0","0.0","0.026","97.0","10.49","2.3"
"2017-09-26 00:40:00.0","0.0","0.026","97.0","10.65","2.0"
"2017-09-26 00:50:00.0","0.0","0.026","97.0","10.24","0.0"
"2017-09-26 01:00:00.0","0.0","0.026","97.0","10.0","0.2"
"2017-09-26 01:10:00.0","0.0","0.026","97.0","9.87","0.5"
"2017-09-26 01:20:00.0","0.0","0.026","97.0","9.67","0.4"
"2017-09-26 01:30:00.0","0.0","0.026","97.0","9.46","0.0"
"2017-09-26 01:40:00.0","0.0","0.026","97.0","9.3","0.0"
"2017-09-26 01:50:00.0","0.0","0.026","97.0","9.15","0.0"
"2017-09-26 02:00:00.0","0.0","0.026","97.0","8.96","0.1"
"2017-09-26 02:10:00.0","0.0","0.026","97.0","8.94","0.0"
"2017-09-26 02:20:00.0","0.0","0.026","98.0","9.12","0.7"
"2017-09-26 02:30:00.0","0.0","0.026","98.0","9.47","0.8"
"2017-09-26 02:40:00.0","0.0","0.026","98.0","9.91","0.0"
"2017-09-26 02:50:00.0","0.0","0.026","98.0","10.15","0.0"
"2017-09-26 03:00:00.0","0.0","0.026","98.0","10.25","0.4"
"2017-09-26 03:10:00.0","0.0","0.026","98.0","10.43","1.0"
"2017-09-26 03:20:00.0","0.0","0.026","98.0","10.64","1.8"
"2017-09-26 03:30:00.0","0.0","0.026","98.0","10.88","0.8"
"2017-09-26 03:40:00.0","0.0","0.026","98.0","11.06","0.0"
"2017-09-26 03:50:00.0","0.0","0.026","98.0","11.26","0.0"
"2017-09-26 04:00:00.0","0.0","0.026","98.0","11.31","1.5"
"2017-09-26 04:10:00.0","0.0","0.026","98.0","11.38","1.8"
"2017-09-26 04:20:00.0","0.0","0.026","98.0","11.34","3.3"
"2017-09-26 04:30:00.0","0.2","0.026","98.0","11.15","0.9"
"2017-09-26 04:40:00.0","0.0","0.026","98.0","11.21","0.1"
"2017-09-26 04:50:00.0","0.0","0.026","98.0","11.29","0.3"
"2017-09-26 05:00:00.0","0.0","0.026","98.0","11.26","3.3"
"2017-09-26 05:10:00.0","0.0","0.026","98.0","11.18","2.4"
"2017-09-26 05:20:00.0","0.0","0.026","98.0","11.19","2.6"
"2017-09-26 05:30:00.0","0.0","0.026","98.0","11.21","2.5"
"2017-09-26 05:40:00.0","0.0","0.026","98.0","11.18","3.2"
"2017-09-26 05:50:00.0","0.0","0.026","98.0","11.08","3.2"
"2017-09-26 06:00:00.0","0.0","0.026","98.0","11.08","1.3"
"2017-09-26 06:10:00.0","0.0","0.026","98.0","11.19","0.1"
"2017-09-26 06:20:00.0","0.0","0.026","98.0","11.27","2.4"
"2017-09-26 06:30:00.0","0.0","0.026","98.0","11.13","3.0"
"2017-09-26 06:40:00.0","0.0","0.026","98.0","10.93","3.0"
"2017-09-26 06:50:00.0","0.0","0.026","98.0","10.79","2.4"
"2017-09-26 07:00:00.0","0.0","0.026","98.0","10.95","2.3"
"2017-09-26 07:10:00.0","0.0","0.026","98.0","11.1","1.9"
"2017-09-26 07:20:00.0","0.0","0.026","98.0","11.15","2.3"
"2017-09-26 07:30:00.0","0.0","0.026","98.0","11.19","2.8"
"2017-09-26 07:40:00.0","0.0","0.026","98.0","11.22","2.6"
"2017-09-26 07:50:00.0","0.0","0.026","98.0","11.29","2.8"
"2017-09-26 08:00:00.0","0.0","0.026","98.0","11.57","1.5"
"2017-09-26 08:10:00.0","0.0","0.026","98.0","11.59","3.5"
"2017-09-26 08:20:00.0","0.0","0.026","98.0","11.79","2.6"
"2017-09-26 08:30:00.0","0.0","0.026","98.0","11.92","1.8"
"2017-09-26 08:40:00.0","0.0","0.026","98.0","11.96","0.8"
"2017-09-26 08:50:00.0","0.0","0.026","98.0","12.1","1.8"
"2017-09-26 09:00:00.0","0.0","0.026","98.0","12.17","1.2"
"2017-09-26 09:10:00.0","0.0","0.026","98.0","12.4","1.6"
"2017-09-26 09:20:00.0","0.0","0.026","98.0","12.47","1.5"
"2017-09-26 09:30:00.0","0.0","0.026","98.0","12.39","0.7"
"2017-09-26 09:40:00.0","0.0","0.026","98.0","12.66","2.3"
"2017-09-26 09:50:00.0","0.0","0.026","98.0","12.8","3.2"
"2017-09-26 10:00:00.0","0.0","0.025","98.0","12.93","3.7"
"2017-09-26 10:10:00.0","0.0","0.025","98.0","13.16","2.3"
"2017-09-26 10:20:00.0","0.0","0.025","98.0","13.37","4.8"
"2017-09-26 10:30:00.0","0.0","0.025","98.0","13.58","3.3"
"2017-09-26 10:40:00.0","0.0","0.025","98.0","13.78","3.0"
"2017-09-26 10:50:00.0","0.0","0.025","96.0","14.28","3.0"
"2017-09-26 11:00:00.0","0.0","0.025","90.0","15.53","2.9"
